node_1|node_2|edge|chunk_id
bezpieczeństwo|usługi online|Współczesny klient oczekuje usług dopasowanych do cyfrowej rzeczywistości i nowoczesnego stylu życia|23c4e0987004458fbd6282ceec46f14b
bezpieczeństwo|transakcje|...a tym samym wzrost zapotrzebowania na zaufane narzędzia do ochrony informacji...|23c4e0987004458fbd6282ceec46f14b
identyfikacja|klienta|...wiążące z identyfikacją klienta korzystającego z usług online.|23c4e0987004458fbd6282ceec46f14b
oczekiwania|klienta|Współczesny klient oczekuje usług dopasowanych do cyfrowej rzeczywistości i nowoczesnego stylu życia|23c4e0987004458fbd6282ceec46f14b
zawieranie|dokumentów|...a tym samym wzrost zapotrzebowania na zaufane narzędzia do ochrony informacji, w tym dokumentów.|23c4e0987004458fbd6282ceec46f14b
rynkowy|kontekst|Do głównych wyzwań, przed którymi stoją polscy przedsiębiorcy, obok wymagającego kontekstu rynkowego i regulacyjnego|23c4e0987004458fbd6282ceec46f14b
transakcje|bezpieczeństwo|...wymagań w zakresie ochrony informacji, a tym samym wzrost zapotrzebowania na zaufane narzędzia do transakcji.|23c4e0987004458fbd6282ceec46f14b
ochrona danych|naruszenia|...globalnie liczba przypadków naruszenia ochrony danych w latach 2013–2022 wzrosła trzykrotnie.|23c4e0987004458fbd6282ceec46f14b
ciągłego|rozwoju|...Postępująca cyfryzacja przekłada się na wzrost wymagań w zakresie ochrony informacji, a tym samym wzrost zapotrzebowania na zaufane narzędzia|23c4e0987004458fbd6282ceec46f14b
cyfryzacja|wzrost wymagań| Termin cyfryzacji jest powiązany z terminem wzrostu wymagań, a sam ten wzrost wymagań wpływa na ochronę informacji w kontekście przedebugowanego zdania.|d857b55d91a54e68aae9fa2fbc38e171
ochrona informacji|zaufane narzędzia autoryzacji| Termin ochrony informacji jest powiązany z terminem zaufanych narzędzi autoryzacji, a te narzędzia są wykorzystywane w celu potwierdzenia autentyczności dokumentów.|d857b55d91a54e68aae9fa2fbc38e171
autentyzacja|potwierdzanie autentyczności| Terminy autentyzacja i potwierdzenie autentyczności są powiązane w kontekście zapotrzebowania na narzędzia autoryzacji.|d857b55d91a54e68aae9fa2fbc38e171
zdalne potwierdzanie tożsamości|ustawienie cyfrowe|Ustawienia cyfrowe są związane z zdalnym potwierdzaniem tożsamości|858599a687784d9299b961ae3404e607
mojeid|zdalne potwierdzanie tożsamości|MojeID jest mechanizmem zdalnego uwierzytelniania klienta w oparciu o bankowość elektroniczną|858599a687784d9299b961ae3404e607
bankowość elektroniczna|mojeid|Bankowość elektroniczna służy do uzyskania dostępu do mojeID|858599a687784d9299b961ae3404e607
usługa komercyjna|zdalne potwierdzanie tożsamości|Usługi komercjalne korzystają z zdalnego potwierdzenia tożsamości w celu uwierzytelniania klientów|858599a687784d9299b961ae3404e607
usługa publiczna|zdalne potwierdzanie tożsamości|Usługi publiczne korzystają z zdalnego potwierdzenia tożsamości w celu uwierzytelniania użytkowników|858599a687784d9299b961ae3404e607
polska|mojeid|Dostęp do mojeID jest dostępny dla ponad 98% użytkowników bankowości elektronicznej w Polsce|858599a687784d9299b961ae3404e607
2029|czerwiec|Polacy użyli mojeID ponad 350 milionów razy od momentu jego wprowadzenia na rynek w czerwcu 2019 roku|858599a687784d9299b961ae3404e607
