node_1|node_2|edge|chunk_id
współczesny klient|cyfrowa rzeczywistość|Współczesny klient oczekuje usług dopasowanych do cyfrowej rzeczywistości.|c760262005ca45bbb4b6629d0646cd3e
współczesny klient|nowoczesny styl życia|Współczesny klient oczekuje usług dopasowanych do nowoczesnego stylu życia.|c760262005ca45bbb4b6629d0646cd3e
usługi|dostępne łatwo i szybko|Usługi powinny być dostępne łatwo i szybko.|c760262005ca45bbb4b6629d0646cd3e
usługi|bezpieczne|Usługi powinny być całkowicie bezpieczne.|c760262005ca45bbb4b6629d0646cd3e
polscy przedsiębiorcy|wymagający kontekst rynkowy|Do głównych wyzwań, przed którymi stoją polscy przedsiębiorcy, obok wymagającego kontekstu rynkowego.|c760262005ca45bbb4b6629d0646cd3e
polscy przedsiębiorcy|wymagający kontekst regulacyjny|Do głównych wyzwań, przed którymi stoją polscy przedsiębiorcy, obok wymagającego kontekstu regulacyjnego.|c760262005ca45bbb4b6629d0646cd3e
bezpieczeństwo transakcji i dokumentów|wiarygodna identyfikacja klienta|Potrzeba zadbania o bezpieczeństwo transakcji i dokumentów oraz wiarygodną identyfikację klienta korzystającego z usług online.|c760262005ca45bbb4b6629d0646cd3e
wyciek danych|wzrost liczby przypadków naruszenia ochrony danych|Globalnie liczba przypadków naruszenia ochrony danych w latach 2013–2022 wzrosła trzykrotnie.|c760262005ca45bbb4b6629d0646cd3e
wyciek danych|2,6 miliarda informacji|W ciągu ostatnich dwóch lat wyciekło 2,6 miliarda informacji.|c760262005ca45bbb4b6629d0646cd3e
cyfryzacja|wzrost wymagań w zakresie ochrony informacji|Postępująca cyfryzacja przekłada się na wzrost wymagań w zakresie ochrony informacji.|c760262005ca45bbb4b6629d0646cd3e
zaufane narzędzia|wzrost zapotrzebowania|Wzrost zapotrzebowania na zaufane narzędzia.|c760262005ca45bbb4b6629d0646cd3e
cyfryzacja|ochrona informacji|przekłada się na wzrost wymagań|d10cd4a0a1604e1698da517fc2641bc5
ochrona informacji|zapotrzebowanie|wzrost zapotrzebowania|d10cd4a0a1604e1698da517fc2641bc5
zapotrzebowanie|narzędzia autoryzacji|na zaufane narzędzia autoryzacji|d10cd4a0a1604e1698da517fc2641bc5
zapotrzebowanie|potwierdzanie autentyczności dokumentów|i potwierdzania autentyczności dokumentów|d10cd4a0a1604e1698da517fc2641bc5
zdalne potwierdzanie tożsamości|technologia|Jest związane z rozwojem technologii.|88231f4aebcf42d987e005b1c0f127cf
zdalne potwierdzanie tożsamości|usługi online|Jest związane z popularyzacją usług online.|88231f4aebcf42d987e005b1c0f127cf
zdalne potwierdzanie tożsamości|mojeid|mojeID jest wspomniane jako przykładowe rozwiązanie cyfrowe do zdalnego potwierdzania tożsamości.|88231f4aebcf42d987e005b1c0f127cf
mojeid|bankowość elektroniczna|mojeID opiera się na bankowości elektronicznej do uwierzytelniania klienta.|88231f4aebcf42d987e005b1c0f127cf
mojeid|użytkownicy bankowości elektronicznej|Dostęp do mojeID ma ponad 98% użytkowników bankowości elektronicznej w Polsce.|88231f4aebcf42d987e005b1c0f127cf
mojeid|usługi komercyjne|mojeID służy potwierdzaniu tożsamości w usługach komercyjnych.|88231f4aebcf42d987e005b1c0f127cf
mojeid|usługi publiczne|mojeID służy potwierdzaniu tożsamości w usługach publicznych.|88231f4aebcf42d987e005b1c0f127cf
mojeid|użytkownicy online|mojeID jest używane przez użytkowników online.|88231f4aebcf42d987e005b1c0f127cf
mojeid|popularyzacja|mojeID zyskuje na popularności od momentu wprowadzenia na rynek.|88231f4aebcf42d987e005b1c0f127cf
mojeid|rynek|mojeID zostało wprowadzone na rynek w czerwcu 2019 roku.|88231f4aebcf42d987e005b1c0f127cf
mojeid|użycie|Polacy użyli tej metody uwierzytelniania ponad 350 milionów razy.|88231f4aebcf42d987e005b1c0f127cf
