node_1|node_2|edge|chunk_id
współczesny klient|cyfrowa rzeczywistość|Współczesny klient oczekuje usług dostosowanych do cyfrowej rzeczywistości.|600f8233cdd24b02a70e61334f7b036b
cyfrowa rzeczywistość|nowoczesny styl życia|Cyfrowa rzeczywistość i nowoczesny styl życia są ze sobą powiązane.|600f8233cdd24b02a70e61334f7b036b
dostępność|bezpieczeństwo|Usługi muszą być łatwo dostępne i jednocześnie całkowicie bezpieczne.|600f8233cdd24b02a70e61334f7b036b
wymagający kontekst rynkowy|wymagający kontekst regulacyjny|Przedsiębiorcy muszą brać pod uwagę wymagający kontekst rynkowy i regulacyjny.|600f8233cdd24b02a70e61334f7b036b
bezpieczeństwo transakcji|bezpieczeństwo dokumentów|Przedsiębiorcy muszą zadbać o bezpieczeństwo transakcji i dokumentów.|600f8233cdd24b02a70e61334f7b036b
wiarygodna identyfikacja|klient korzystający z usług online|Wiarygodna identyfikacja klienta jest niezbędna dla usług online.|600f8233cdd24b02a70e61334f7b036b
naruszenie ochrony danych|cyfryzacja|Globalny wzrost liczby przypadków naruszenia ochrony danych jest związany z postępującą cyfryzacją.|600f8233cdd24b02a70e61334f7b036b
cyfryzacja|ochrona informacji|Postępująca cyfryzacja przekłada się na wzrost wymagań w zakresie ochrony informacji.|600f8233cdd24b02a70e61334f7b036b
zaufane narzędzia|wzrost zapotrzebowania na zaufane narzędzia|Wzrost zapotrzebowania na zaufane narzędzia w kontekście ochrony informacji.|600f8233cdd24b02a70e61334f7b036b
postępująca cyfryzacja|ochrona informacji|wpływ cyfryzacji na wzrost wymagań w zakresie ochrony informacji|84a8b1218d174a06aefe63094c1e1482
ochrona informacji|zaufane narzędzia autoryzacji|zwiększone zapotrzebowanie na narzędzia autoryzacji w kontekście ochrony informacji|84a8b1218d174a06aefe63094c1e1482
ochrona informacji|potwierdzanie autentyczności dokumentów|zwiększone zapotrzebowanie na potwierdzanie autentyczności dokumentów w kontekście ochrony informacji|84a8b1218d174a06aefe63094c1e1482
zdalne potwierdzanie tożsamości|usługi online|Zdalne potwierdzanie tożsamości jest częścią usług online, umożliwiając zabezpieczenie tych usług.|b6061d3dda554a9994c0454bb35d831f
zdalne potwierdzanie tożsamości|mojeid|mojeID jest przykładem uniwersalnego mechanizmu zdalnego uwierzytelniania klienta, który służy do potwierdzania tożsamości użytkownika online.|b6061d3dda554a9994c0454bb35d831f
mojeid|bankowość elektroniczna|mojeID opiera się na bankowości elektronicznej jako metodzie uwierzytelniania.|b6061d3dda554a9994c0454bb35d831f
mojeid|usługi komercyjne|mojeID jest wykorzystywany w usługach komercyjnych do potwierdzania tożsamości.|b6061d3dda554a9994c0454bb35d831f
mojeid|usługi publiczne|mojeID jest wykorzystywany w usługach publicznych do potwierdzania tożsamości.|b6061d3dda554a9994c0454bb35d831f
użytkownicy bankowości elektronicznej|mojeid|Użytkownicy bankowości elektronicznej mają dostęp do mojeID.|b6061d3dda554a9994c0454bb35d831f
użytkownicy bankowości elektronicznej|ponad 98 proc. użytkowników|Ponad 98 proc. użytkowników bankowości elektronicznej w Polsce ma dostęp do mojeID.|b6061d3dda554a9994c0454bb35d831f
użytkownicy bankowości elektronicznej|ok. 22 miliony osób|Ok. 22 miliony osób ma dostęp do mojeID.|b6061d3dda554a9994c0454bb35d831f
mojeid|ponad 350 milionów razy|Od momentu wprowadzenia, mojeID zostało użyte ponad 350 milionów razy.|b6061d3dda554a9994c0454bb35d831f
mojeid|czerwiec 2019 roku|mojeID zostało wprowadzone na rynek w czerwcu 2019 roku.|b6061d3dda554a9994c0454bb35d831f
