node_1|node_2|edge|chunk_id
bezpieczeństwo transakcji|dokumenty|Bezpieczeństwo transakcji i dokumentów jest kluczowym elementem ochrony danych|022fbf6643284888bc96d3c38aac85cd
identyfikacja klienta|usługi online|Wiarygodna identyfikacja klienta jest niezbędne do zapewnienia bezpiecznych usług online|022fbf6643284888bc96d3c38aac85cd
ochrona danych|transakcje|Ochrona danych jest kluczowym elementem zapewniającym bezpieczeństwo transakcji|022fbf6643284888bc96d3c38aac85cd
cyfryzacja|wzrost wymagań|Postępująca cyfryzacja przekłada się na wzrost wymagań w zakresie ochrony informacji|022fbf6643284888bc96d3c38aac85cd
zaufane narzędzia|zapotrzebowanie|Wzrost zapotrzebowania na zaufane narzędzie jest wynikiem postępującej cyfryzacji i wzrostu wymagań w zakresie ochrony informacji|022fbf6643284888bc96d3c38aac85cd
rynkowy kontekst|regulacyjny kontekst|Wymagający kontekst rynkowy i regulacyjny jest kluczowym czynnikiem wpływającym na potrzebę bezpieczeństwa transakcji|022fbf6643284888bc96d3c38aac85cd
naruszenie ochrony danych|cywilizacja|Liczba przypadków naruszenia ochrony danych w ciągu ostatnich lat jest wynikiem postępującej cyfryzacji i zwiększonej rywalizacji na rynku|022fbf6643284888bc96d3c38aac85cd
transakcje|dokumenty|Bezpieczne transakcje i dokumenty są niezbędne do zapewnienia skuteczności usług online|022fbf6643284888bc96d3c38aac85cd
ochrona informacji|cyfryzacja|powiązanie z terminem cyfryzacji|db1dcdb0787d4c8693ff4b38dd128b84
autoryzacja|potwierdzanie autentyczności|powiązanie z terminami bezpieczeństwa informacyjnego|db1dcdb0787d4c8693ff4b38dd128b84
potwierdzanie autentyczności|autoryzacja|powiązanie z terminami bezpieczeństwa informacyjnego|db1dcdb0787d4c8693ff4b38dd128b84
zdalne potwierdzanie tożsamości|usługa mojeid|Została sformułowana w kontekście zastosowania usług online i bankowości elektronicznej.|c04959ad6108486e8634793b8eb6b5a9
usługa mojeid|bankowość elektroniczna|Jest to mechanizm zdalnego uwierzytelniania klienta oparty na bankowości elektronicznej.|c04959ad6108486e8634793b8eb6b5a9
usługa mojeid|ustawienie prawne|Należy do ustawień prawnych dotyczących usług bankowych w Polsce.|c04959ad6108486e8634793b8eb6b5a9
bankowość elektroniczna|usługa mojeid| Jest to jednym z narzędzi bankowości elektronicznej.|c04959ad6108486e8634793b8eb6b5a9
zdalne potwierdzanie tożsamości|usługi komercyjne|Znajduje zastosowanie w usługach komercyjnych.|c04959ad6108486e8634793b8eb6b5a9
zdalne potwierdzanie tożsamości|usługi publiczne|Mogą korzystać z tej metody uwierzytelniania w usługach publicznych.|c04959ad6108486e8634793b8eb6b5a9
ustanowiona ilość użytkowników|bankowość elektroniczna|Oto ponad 98 proc. użytkowników bankowości elektronicznej w Polsce, czyli ok. 22 miliony osób.|c04959ad6108486e8634793b8eb6b5a9
polacy|bankowość elektroniczna|To ponad 98 proc. użytkowników bankowości elektronicznej w Polsce.|c04959ad6108486e8634793b8eb6b5a9
usługa mojeid|korzystanie z usługi|Polacy użyli tej metody uwierzytelniania ponad 350 milionów razy od momentu jej wprowadzenia na rynek.|c04959ad6108486e8634793b8eb6b5a9
czerwca 2019 roku|usługa mojeid|To kalendarzowy daty wprowadzenia usługi na rynek.|c04959ad6108486e8634793b8eb6b5a9
